userName;content;score;at;appVersion
Dewi Oktarizki;Apaan sih minta update mulubikin berat hplemot pulamerepotkan pelanggan yg lagi urgent order  pantau kiriman bagus diawal aja;2;23/10/2022 13:06;4.53.1
Perdian Yudistira;Mantap;5;29/11/2023 15:41;4.78.3
Rifai Pratama;Josss top markotop sangat membantuku cuuuyyy;5;27/03/2022 04:03;4.40.1
Ano Mulyana;Tiba2 akun saya di blokir ga ngerti saya Udah 4hari nih gmna gopay kerja ny lelet amat gmna tuh masih blum ke buka sampai sekarang;1;01/09/2022 08:51;4.50.1
Syam.since1997;Gojek udah kurang yah drivernya di Makassar Dari tadi saya pesan katanya sibuk semua;1;12/12/2021 04:16;4.28.4
Felix Tumale;Aplikasinya akhirakhir ini bermasalah 1 loading lambat 2 gopay paylater tidak bisa digunakan walaupun saldonya masih full Padahal sebelumnya sangat bisa diandalkan Sekarang susah masuk kehalaman Paylater saja tidak bisabagian bantuan tidak memberikan solusi Padahal kalau telat bayar sehari saja kena denda 50k Kembalikanlah kemudahan gopay yang duluberi 1 untuk tingkat kepuasan nanti kalau udah fix saya akan ubah jadi 5;1;12/11/2023 03:56;4.78.3
Andri Aripin;Oke;5;07/11/2022 13:06;4.49.2
fery weld aja;good apk;5;15/11/2021 22:52;4.31.1
Wahyu Noorindah;voucher tidak bisa dipakai padahal jelas mempunyai voucher yang seharusnya bisa dipakai;1;04/03/2022 07:18;4.38.2
Uswatun Khasanah;ok;5;13/04/2023 05:25;4.65.2
RIA AYU;Ongkirnya mehong dapat promo potongan 70 eh tnyt sama aja bayarnya kyk ga pake promo Edun bingit;1;19/05/2023 11:31;4.61.1
Komarlik Lasem;Bagus;2;30/01/2023 08:01;4.43.3
riana widaya;Ok;5;20/06/2022 13:51;4.45.1
Cafe Geulis;Cepat tepat mudah;4;06/05/2022 23:51;4.37.2
Tania Renita;Bad Pesanan baru ke klik uda gabiaa di batalin Nunggu respon cust service buat batalin pesanan nunggu nya lama sekali Sampai pesanan udah sampai Akhirnya jadi gabisa dibatalin Di app sebelah padahal fleksibel banget urusan kayak gni Bad app bad service;1;08/01/2022 14:24;4.34.1
Dadang Rukmana;Driver sopan pemilihan rute ok;5;15/05/2023 00:51;4.66.1
Yaherna Gusti;Bagus tapi agak mahal sekarang;4;26/07/2023 07:38;4.69.3
sifa devi;Memudahkan saya;5;27/04/2023 03:04;4.58.1
Acep Rizal;Pzb;3;06/04/2022 00:22;4.36.1
firman farid;Gopaylater bkin suwe;1;25/04/2023 11:36;4.65.2
Abdul ghofur Ghofur;Baik sekali;5;29/06/2022 01:01;4.38.2
Awe Aguswardana;Bagus;5;18/05/2023 04:24;4.66.1
Ab Med;Sangat membantu;5;11/09/2022 08:54;4.51.1
Xythicals;Mantap;5;23/08/2023 09:09;4.73.1
Anisah;Excellent;5;15/12/2021 16:35;4.33.1
Rian Irwansyah_;Gopay saya di blokir nggak bisa belaja pakai gopay lagi pesan ma kanan 2 x pesan TDK dpt drever piye to mas mas;2;26/01/2022 11:00;4.35.1
redyan zulfani;Aplikasi gojek paling keren;5;01/08/2022 04:27;4.48.1
Muhamad Rizki;tf dari gopay ke bank lama nge chat cs kaga ada respon males bet;1;21/03/2022 09:22;4.36.1
Yant's #Fishing;Good;5;08/02/2022 09:36;4.36.1
RIFZKY ALFALLAH;Gojek Jaktim pada kasar2 kalo pake diskon gak pada mau kalo hujan dan pakenya gopay apalagi gak ada yg mau ambil Coba deh saring2 perbaiki lagi driver yg begitu mending sedikit driver tapi konsisten ngojek gak pada batalin daripada banyak driver malah milih2 penumpang males2 pula;1;26/11/2021 15:21;4.29.1
Yayaya Yoiyoiyoi;Good;5;06/03/2022 15:46;4.38.2
Anwar Alamsyah;Mantaap lah;5;20/03/2022 10:28;4.39.2
Aquitarre Gliff;Kasih lebih banyak diskon bang;5;12/09/2023 11:44;4.74.2
retno sundari;Pesanan cepat sampemakasih gojek;5;22/11/2021 12:16;4.31.1
Enjang Sang;oke sangat membantu ketika saya membutuh kan jasa transportasi apa lagi kalau gratisan wkwkkwk;5;23/01/2023 01:39;4.59.1
Miss Lee;Update Mulutgl 4 dah updateskrg disuruh update lgga jelas;1;22/04/2022 10:27;4.41.1
isha fasha;Terima kasih;5;12/08/2022 02:48;4.48.1
Ietje Guntur;Mau tanya hari ini aplikasi gocar dan goride ada notifikasi ketika dibuka  Aplikasi Google Play sedang pembaruan Maksudnya apa ya Akibatnya saya tidak dapat menggunakan aplikasi gocar dan goride dari tadi pagi jam 0600 sampai saat ini jam 1033 Bisa minta penjelasan Bagaimana pemulihannya Terima kasih;5;29/12/2022 03:34;4.58.1
Uwa Utang;Ol;5;16/11/2022 07:19;4.55.2
Saut Habeahan;Good;5;18/01/2022 08:45;4.34.1
Farhan Rambu;Bgus;5;30/06/2022 15:20;4.7.4
Aril Cnl;Manteppp;5;05/07/2022 07:45;4.27.1
2IOIIO66 Dyah Indyra Bulqiy;Ongkir nya terlalu mahal bgt skrg gojek padahl deket masa iyaa mahalan ongkir dari pada barang;1;28/07/2022 05:45;4.38.2
Zenal Abdi Zaelani (Zen);baik;5;17/09/2022 05:34;4.51.1
King Afk;Hilangkan biaya layanan pada online shopini merugikan masyarakat Indonesia;1;22/05/2023 04:53;4.66.1
Audy;Ga jadi bintang 5 gopay saya tiba tiba di blokir saldo nya lumayan kecewa banget;1;29/05/2022 12:49;4.5.2
Ir Santos;Good sih;5;21/02/2023 10:09;4.61.1
Muhammad Hafaza Ridwan;Kenapa saya gak bisa bayar by u pakai gopay;4;17/06/2022 08:22;4.45.1
frederica gwyn;ongkir nya mahaljarang ada promodiskonpotongan harga;3;28/06/2023 14:35;4.68.1
Ida Naida;Sekarang ga ada promonya pelit amat dah;3;18/08/2022 15:14;4.32.1
Muh Sarief;Mantap;5;16/02/2022 15:04;4.36.1
dias fatamsyah;Is the best;5;22/06/2022 11:45;4.36.1
kontol lodon;Karena ga bisa utang;1;07/08/2022 06:08;4.37.2
THE BLACK;Ok;5;11/05/2022 08:29;4.43.1
Monique Baru;Gofood makin hari makin mahal Ongkirpun mahal Promo sedikit Jadi malas pakai Apk ini lagi;2;11/08/2023 00:01;4.69.2
Arif Djumedi;Bagus dan sangat membantu perjalanan menjadi mudah;5;08/11/2021 06:30;4.31.1
Imat Supriatna;Gopay saya ko ilang mulu ya k sedot kena apa itu cara liat riwat pemakayan gopay dr mn  Makin sini gojek jd makin jelek;1;02/03/2022 09:29;4.37.2
Adi prasetyo;Pesan food pakai estimasi reguler nunggu 1 jam kayak mode hemat  Di benerin lah ceo gojek  Jadi hilang selera makan saya;1;21/12/2023 14:28;4.50.1
KucingBella;Kenapa cuma bisa pakai 1 voucher Padahal dulu bisa pakai 2;1;30/08/2022 01:49;4.50.1
u can call me KHARISMA.D13;Sering sering kasih aku promote yaa ;5;09/10/2023 07:53;4.76.2
Royan Musthofa;Bagus;5;21/04/2022 21:34;4.36.1
Anggun Ms;Setelah di perbarui jadi lemot banget  Aku udah lama loh langganan d gojek tuh ;4;31/07/2022 06:50;4.48.1
noe graha;Kutetap setia dgn gojek;5;09/06/2022 05:06;4.44.1
Candra Dewi;Dibuka loading mulu;2;13/08/2022 09:58;4.49.2
rudi ni;TOP;5;13/04/2022 15:11;4.40.1
Wilis Lajavi;GK jadi bintang 5cukup 1 aja;1;10/06/2023 08:11;4.67.2
Rian Wibowo;Kenyamanan oke;5;30/10/2022 11:21;4.54.2
Fauzi Ramadhani;Ok;5;09/02/2023 05:52;4.59.1
Bahsan Gusnety;Mudahan kedepan ada Gojek litenya Tolong alasan membatalkannya di tambah ada saja driver tidak membawa helm untuk penumpang;3;07/10/2022 06:08;4.53.1
maylinda Nurhidayah;Bagus;5;15/08/2022 00:25;4.39.2
AGUS SISWANDI;Menyenangkan;5;29/03/2022 04:38;4.26.1
Agus Sulistiyo;Good;5;29/10/2022 19:48;4.54.2
Ferdian Lekatompessy;Makasih banyak Udah beberapa kali pake dan ini ngebantu banget di waktu2 mepet dan di saat ga ada yg bisa antarjemput;5;16/02/2022 07:25;4.36.1
Sinta Ratnasari;Good;5;08/06/2022 02:39;4.44.1
Mito BS;Makasih jeg;5;25/07/2022 05:16;4.47.1
WahyusetyoAgung;Payleter ke blokirpadahal bayar selalu tepat waktu;1;24/12/2021 01:34;4.34.1
Vranz 57;Ambatukam;5;29/01/2023 09:10;4.58.1
Doni Ramadhan;Good;5;03/11/2022 08:34;4.44.1
Erna Tridupita;Mantap;5;07/01/2022 12:32;4.34.1
chelsea timothy;bingung mau order gofood menu ga keluar2 muter2 doank apa yang mau diorder mending app sebelah;1;03/03/2023 10:02;4.62.2
Chatarine Villy Arifin;Ok semua;5;23/01/2024 06:48;4.81.1
Setyadhi Maulana;Ship;5;11/07/2022 02:31;4.47.1
pangeran bulan;nyesel saya updet ke gopay later terbaru limitnya jadi kecil mana mau bayarnya dilamain lagi buat next nya;1;28/08/2023 23:59;4.73.1
Jajang Suhendi;oke;1;26/09/2022 17:47;4.52.2
kosong an;udah bagus tapi sering gagal kalo mau bayar pake qriss;3;11/03/2023 09:55;4.62.2
Fira Ramaita;Performanya makin anjlok drivernya beberapa ada yang lelet gak jalan2 Padahal buru buru;4;11/05/2023 06:21;4.66.1
sastro marbun;Top;1;19/02/2023 08:12;4.61.1
WENDY PUTRA;Pas uprage tidak dapat digunakan playlater dan saya untuk pembayaran cicilan juga gak bisa gimana ini solusinya;1;07/09/2023 04:24;4.73.1
Rahma alfazary;Good memudahkan pas banget kantong nipis eh ada promo gede Makasih;4;21/09/2023 07:44;4.66.1
Cadus aje;Mantap daah;5;13/06/2022 04:56;4.44.1
yankes singkawang;Wokeeee;5;07/12/2021 05:30;4.33.1
Abdul Rozak;Ok;5;05/04/2023 17:19;4.64.2
Herry Gatot;nunggunya sebentar rute sesuai sopan tidak ngebut;5;09/01/2023 02:15;4.58.1
Antonius Mojo;Good;5;14/06/2022 14:09;4.45.1
ari yunita;Sangat terbantu klo lagi mager keluar;5;13/02/2022 06:11;4.25.2
Arya galau;kerja apa dikerjain;5;24/03/2022 10:05;4.37.2
Srijana 2020;Mantap;5;17/07/2023 08:59;4.68.1
Rio Dwi Harto;Tolong diperbaiki Belakangan ini sering forceclose Lalu kendala yg sangat aneh jika driver telfon customer di HP customer tinggal muncul menu angkat telfon dan hanya berdering;5;18/12/2023 09:04;4.80.2
my quan;haii gojek sudah bagus kok pelayanan nya cuma kenapa ya saat melakukan transaksi pembayaran lewat code qr scan gabisa katanya ada yg bermasalah padahal sebelum nya baik baik aja tolong di perbaiki lagi yaa thank you gojek;3;28/12/2022 18:02;4.58.1
Jekpot realmi;Mantap;5;09/11/2021 06:11;4.31.1
Meilanie Mei;Ini apk kenapa sih error udah update tapi loading teruss;3;28/02/2022 09:21;4.25.2
DODIK TRI PRIYANTO;Kenapa apk nya bobrok gini sih Mau pesen makan aja susah nya minta ampun apk dalam perbaikan mulu;1;03/04/2022 13:31;4.40.1
Edo Ramadhani;Bagus;5;21/05/2022 04:46;4.43.3
Akbar Ardiansyah;Gojek memang kerenTIDAK MEMPERSULIT CARA MENDAPTAR ATAU APAPUN;5;29/04/2022 06:34;4.42.2
Putra Gaming store;Mantullll;5;04/08/2022 12:03;4.47.1
Widia Ningsih;Aplikasinya minta update terussss;3;12/03/2022 12:17;4.28.4
bang way;sering sering update ama pihak google maps agar lebih akurat lagi ;1;08/03/2022 14:35;4.38.2
Dinni Agustin;ok pokoknya;5;28/12/2021 01:19;4.34.1
Harry Agus suryana;semua fitur sangatkumplit;5;22/06/2022 09:11;4.45.1
Agus Salam;Cukup bagus;5;12/08/2022 00:35;4.49.2
Rupinus Wanimbo;gratis;5;19/01/2024 19:46;4.80.3
Mardan Hanif;Memudahkan untuk pergi k re mana2;5;14/11/2022 10:30;4.55.2
raja borneo;Mantap;5;31/12/2021 19:15;4.34.1
Laokas 69;Cok;1;29/01/2023 16:52;4.59.1
DUNIA CUPANG;Mantap betul;5;17/07/2023 22:14;4.70.1
dedi arianto;Siallll bankotan;4;29/08/2022 04:38;4.50.1
Roa Nuriman;Mantap;5;08/12/2021 13:40;4.32.1
Widiy Klareyqn;Mantap sukses selalu Gojek Indonesia;5;25/12/2023 21:02;4.80.4
guntoro sulistomo;Nice;5;11/11/2023 20:04;4.78.2
NUR AFENDI;Mantul aplikasinya;5;22/07/2023 02:00;4.70.1
Susianto Suwito;Good Memuaskan;5;27/12/2023 13:37;4.76.2
nur baitirrohmah;Suka apalagi sekarang kolab sama BTS;5;21/06/2022 16:52;4.41.1
Az Zahro Siti Fatimah;Baik;5;19/11/2021 14:02;4.32.1
Arganta Putra wahyunda;Good;5;21/01/2022 04:11;4.34.1
Damayanthi Ida ayu;Sejauh ini selalu akurat;5;02/11/2023 10:47;4.77.2
eko winarno;Good;5;25/02/2022 06:00;4.29.1
indri wijayanti;Sukak;5;04/02/2022 14:32;4.34.1
Ika Zakiy;Susah banget cari alamat katanya ejaan salah;1;07/01/2022 00:18;4.34.1
Sunaryo naryo;Keluhan tdk di tanggapin dan lambat respon dari pengurustim Gojek nya pada hal sy merupakan pelanggan setia dan lama serta banyak mengajak keluarga serta teman untuk mendukung gojek terus terang sy kecewa beratklau gitu aplikasi ini sy hapus aja dari hp sy;1;10/11/2021 03:31;4.31.1
M Rendi Syahputra;Min knp punya sya kaga bisa transfer astagfirulah;1;13/01/2022 08:09;4.34.1
Mus Lichun;Terimakasih telah menjadi sahabat mudah saya Serbah mudah  Beraktifitas;5;23/06/2022 07:52;4.45.1
Tito Priyono;Ok;5;06/11/2021 05:51;4.31.1
Wesley Warisanaru;GOJEK ADALAH SEBAGAI METODE PEMBAYARAN KARENA GOJEK ITU HEBATAKU SUKA BANGET SAMA GO JEKTERIMA KASIH GOJEK;5;05/02/2022 09:00;4.36.1
Arkan Daniswara;keren;5;14/11/2021 23:43;4.31.1
Kiki Slebew;qa;2;14/10/2022 06:07;4.53.1
Ahmad Raikhan Subakti;Cok gatau lagi tempat tinggal gw gada gopuddd;1;11/06/2022 23:37;4.44.1
Dicky Tanjung;SebenarnYa aplikasi ini sangat membantu Cuma saya complain setiap bayar cash driver selalu tidak ada uang kembalianterkesan meminta tips Saya sengaja kasih bintang 5  agar kedepanya gojek bisa merubah atau membuat aturan;5;01/03/2022 01:43;4.37.2
Diro Prasdany;Mantap  pelayanan cepat dan fast respon;5;06/07/2023 14:56;4.59.1
Amri Amore;Good;5;01/08/2022 04:43;4.38.2
Abdul Karim;good;5;02/08/2022 09:12;4.48.1
Catur Toeroe;Ok lahh;4;04/07/2022 06:17;4.46.2
Dea Vinesha 8.6;Sangat bermanfaat Dan saya merasa sangat senang karena aplikasi ini dapat mempermudah dan mempercepat kegiatan saya;5;23/03/2022 09:58;4.31.1
Ady Syahyandani;Sengaja download buat kasih bintang satu iklanmu mengganggu istriku dia takut lihat iklannya ;1;07/09/2022 13:45;4.51.1
Radit Rayadi;Perjalanan jadi mudah;5;30/01/2024 12:29;4.81.2
Surtiasih Kesduarti;Gojek Siip deh;5;01/02/2022 05:44;4.18.2
ariel 07;Boleh lahh;5;26/02/2022 06:04;4.38.2
Ayah Latip;Gaassssssss;5;23/07/2023 05:55;4.70.1
Nanda Putro;Mahal cuyy;2;04/06/2023 07:34;4.67.2
Nurkholifah;Mudah bangettt Bermanfaat ;5;19/03/2022 01:45;4.39.2
bumindo baku perkasa;ok ojo KL mo l oo;5;28/03/2023 03:17;4.63.2
Ardi Hardiansyah;Aplikasi Sangat berguna bagi kehidupan;5;18/03/2022 06:49;4.36.1
